run_date,quarter,estimate_R_bi,method,spec,is_nowcast,cnt_actual,revision_error_pct
2026-06-11,2019Q3,358.7522,denton_proportional,spec_estados_sal_ce,False,357.1836,0.4392
2026-06-11,2019Q4,435.1618,denton_proportional,spec_estados_sal_ce,False,419.1225,3.8269
2026-06-11,2020Q1,349.4715,denton_proportional,spec_estados_sal_ce,False,344.7918,1.3573
2026-06-11,2020Q2,354.73,denton_proportional,spec_estados_sal_ce,False,381.9806,-7.134
2026-06-11,2020Q3,361.2343,denton_proportional,spec_estados_sal_ce,False,366.836,-1.527
2026-06-11,2020Q4,466.7681,denton_proportional,spec_estados_sal_ce,False,438.5955,6.4234
2026-06-11,2021Q1,362.5462,denton_proportional,spec_estados_sal_ce,False,359.9215,0.7292
2026-06-11,2021Q2,395.9308,denton_proportional,spec_estados_sal_ce,False,411.4677,-3.776
2026-06-11,2021Q3,401.1287,denton_proportional,spec_estados_sal_ce,False,408.387,-1.7773
2026-06-11,2021Q4,511.9292,denton_proportional,spec_estados_sal_ce,False,491.7587,4.1017
2026-06-11,2022Q1,401.4098,denton_proportional,spec_estados_sal_ce,False,385.3427,4.1696
2026-06-11,2022Q2,447.9286,denton_proportional,spec_estados_sal_ce,False,456.7867,-1.9392
2026-06-11,2022Q3,446.5617,denton_proportional,spec_estados_sal_ce,False,462.2302,-3.3898
2026-06-11,2022Q4,558.9835,denton_proportional,spec_estados_sal_ce,False,550.524,1.5366
2026-06-11,2023Q1,451.1596,denton_proportional,spec_estados_sal_ce,False,435.0385,3.7057
2026-06-11,2023Q2,493.3652,denton_proportional,spec_estados_sal_ce,False,511.5292,-3.5509
2026-06-11,2023Q3,513.667,denton_proportional,spec_estados_sal_ce,False,506.8464,1.3457
2026-06-11,2023Q4,625.7068,denton_proportional,spec_estados_sal_ce,False,630.4845,-0.7578
2026-06-11,2024Q1,491.0034,denton_proportional,spec_estados_sal_ce,False,475.4443,3.2725
2026-06-11,2024Q2,532.9988,denton_proportional,spec_estados_sal_ce,False,551.0367,-3.2734
2026-06-11,2024Q3,528.9373,denton_proportional,spec_estados_sal_ce,False,546.4603,-3.2066
2026-06-11,2024Q4,657.9789,denton_proportional,spec_estados_sal_ce,False,637.9771,3.1352
2026-06-11,2025Q1,536.3339,denton_proportional,spec_estados_sal_ce,False,521.1889,2.9059
2026-06-11,2025Q2,572.655,denton_proportional,spec_estados_sal_ce,False,598.3491,-4.2942
2026-06-11,2025Q3,597.1875,denton_proportional,spec_estados_sal_ce,False,607.065,-1.6271
2026-06-11,2025Q4,731.2382,denton_proportional,spec_estados_sal_ce,False,710.8115,2.8737
2026-06-11,2026Q1,592.4724,chow_lin,spec_estados_sal_ce,True,598.9941,-1.0888
2026-06-11,2026Q2,624.0308,chow_lin,spec_estados_sal_ce,True,,
