periodo,spec,valor_bi
2019Q2,spec_uniao_sal_ce_ci,124.813451
2019Q2,spec_estados_sal_ce,104.659769
2019Q2,spec_rpps_ci_uniao,45.00148
2019Q3,spec01_uniao_sal_ce,70.191493
2019Q3,spec03_uniao_estados_sal_ce,176.667303
2019Q3,spec13_uniao_estados_sal_ce_ci,201.89563
2019Q3,spec_uniao_sal_ce_ci,95.41982
2019Q3,spec_estados_sal_ce,106.47581
2019Q3,spec_rpps_ci_uniao,25.228327
2019Q4,spec01_uniao_sal_ce,85.758071
2019Q4,spec03_uniao_estados_sal_ce,215.183338
2019Q4,spec13_uniao_estados_sal_ce_ci,245.143197
2019Q4,spec_uniao_sal_ce_ci,115.717931
2019Q4,spec_estados_sal_ce,129.425266
2019Q4,spec_rpps_ci_uniao,29.95986
2020Q1,spec01_uniao_sal_ce,47.577647
2020Q1,spec03_uniao_estados_sal_ce,151.860855
2020Q1,spec13_uniao_estados_sal_ce_ci,177.641401
2020Q1,spec_uniao_sal_ce_ci,73.358192
2020Q1,spec_estados_sal_ce,104.283209
2020Q1,spec_rpps_ci_uniao,25.780545
2020Q2,spec01_uniao_sal_ce,83.258519
2020Q2,spec03_uniao_estados_sal_ce,189.151721
2020Q2,spec13_uniao_estados_sal_ce_ci,218.383149
2020Q2,spec_uniao_sal_ce_ci,112.489947
2020Q2,spec_estados_sal_ce,105.893202
2020Q2,spec_rpps_ci_uniao,29.231427
2020Q3,spec01_uniao_sal_ce,72.713276
2020Q3,spec03_uniao_estados_sal_ce,180.27028
2020Q3,spec13_uniao_estados_sal_ce_ci,205.952843
2020Q3,spec_uniao_sal_ce_ci,98.395839
2020Q3,spec_estados_sal_ce,107.557003
2020Q3,spec_rpps_ci_uniao,25.682563
2020Q4,spec01_uniao_sal_ce,87.330203
2020Q4,spec03_uniao_estados_sal_ce,223.999113
2020Q4,spec13_uniao_estados_sal_ce_ci,254.031697
2020Q4,spec_uniao_sal_ce_ci,117.362787
2020Q4,spec_estados_sal_ce,136.66891
2020Q4,spec_rpps_ci_uniao,30.032584
2021Q1,spec01_uniao_sal_ce,74.588974
2021Q1,spec03_uniao_estados_sal_ce,178.621305
2021Q1,spec13_uniao_estados_sal_ce_ci,204.701898
2021Q1,spec_uniao_sal_ce_ci,100.669567
2021Q1,spec_estados_sal_ce,104.032331
2021Q1,spec_rpps_ci_uniao,26.080593
2021Q2,spec01_uniao_sal_ce,87.378027
2021Q2,spec03_uniao_estados_sal_ce,199.245923
2021Q2,spec13_uniao_estados_sal_ce_ci,228.658543
2021Q2,spec_uniao_sal_ce_ci,116.790646
2021Q2,spec_estados_sal_ce,111.867897
2021Q2,spec_rpps_ci_uniao,29.412619
2021Q3,spec01_uniao_sal_ce,49.191629
2021Q3,spec03_uniao_estados_sal_ce,161.327381
2021Q3,spec13_uniao_estados_sal_ce_ci,187.159262
2021Q3,spec_uniao_sal_ce_ci,75.02351
2021Q3,spec_estados_sal_ce,112.135752
2021Q3,spec_rpps_ci_uniao,25.831881
2021Q4,spec01_uniao_sal_ce,84.86495
2021Q4,spec03_uniao_estados_sal_ce,230.226588
2021Q4,spec13_uniao_estados_sal_ce_ci,260.712874
2021Q4,spec_uniao_sal_ce_ci,115.351237
2021Q4,spec_estados_sal_ce,145.361638
2021Q4,spec_rpps_ci_uniao,30.486287
2022Q1,spec01_uniao_sal_ce,75.713201
2022Q1,spec03_uniao_estados_sal_ce,192.232748
2022Q1,spec13_uniao_estados_sal_ce_ci,218.643537
2022Q1,spec_uniao_sal_ce_ci,102.123991
2022Q1,spec_estados_sal_ce,116.519546
2022Q1,spec_rpps_ci_uniao,26.410789
2022Q2,spec01_uniao_sal_ce,82.281568
2022Q2,spec03_uniao_estados_sal_ce,214.656174
2022Q2,spec13_uniao_estados_sal_ce_ci,244.576483
2022Q2,spec_uniao_sal_ce_ci,112.201878
2022Q2,spec_estados_sal_ce,132.374605
2022Q2,spec_rpps_ci_uniao,29.920309
2022Q3,spec01_uniao_sal_ce,83.125103
2022Q3,spec03_uniao_estados_sal_ce,216.815456
2022Q3,spec13_uniao_estados_sal_ce_ci,243.197383
2022Q3,spec_uniao_sal_ce_ci,109.50703
2022Q3,spec_estados_sal_ce,133.690353
2022Q3,spec_rpps_ci_uniao,26.381927
2022Q4,spec01_uniao_sal_ce,91.903585
2022Q4,spec03_uniao_estados_sal_ce,257.675764
2022Q4,spec13_uniao_estados_sal_ce_ci,289.094176
2022Q4,spec_uniao_sal_ce_ci,123.321997
2022Q4,spec_estados_sal_ce,165.772179
2022Q4,spec_rpps_ci_uniao,31.418412
2023Q1,spec01_uniao_sal_ce,78.86927
2023Q1,spec03_uniao_estados_sal_ce,210.561479
2023Q1,spec13_uniao_estados_sal_ce_ci,237.76612
2023Q1,spec_uniao_sal_ce_ci,106.073911
2023Q1,spec_estados_sal_ce,131.692209
2023Q1,spec_rpps_ci_uniao,27.204641
2023Q2,spec01_uniao_sal_ce,91.968041
2023Q2,spec03_uniao_estados_sal_ce,234.284774
2023Q2,spec13_uniao_estados_sal_ce_ci,265.874563
2023Q2,spec_uniao_sal_ce_ci,123.55783
2023Q2,spec_estados_sal_ce,142.316733
2023Q2,spec_rpps_ci_uniao,31.589789
2023Q3,spec01_uniao_sal_ce,80.572065
2023Q3,spec03_uniao_estados_sal_ce,227.612831
2023Q3,spec13_uniao_estados_sal_ce_ci,255.793095
2023Q3,spec_uniao_sal_ce_ci,108.75233
2023Q3,spec_estados_sal_ce,147.040765
2023Q3,spec_rpps_ci_uniao,28.180264
2023Q4,spec01_uniao_sal_ce,111.773195
2023Q4,spec03_uniao_estados_sal_ce,292.32388
2023Q4,spec13_uniao_estados_sal_ce_ci,325.581107
2023Q4,spec_uniao_sal_ce_ci,145.030422
2023Q4,spec_estados_sal_ce,180.550685
2023Q4,spec_rpps_ci_uniao,33.257227
2024Q1,spec01_uniao_sal_ce,84.422899
2024Q1,spec03_uniao_estados_sal_ce,227.998528
2024Q1,spec13_uniao_estados_sal_ce_ci,256.991902
2024Q1,spec_uniao_sal_ce_ci,113.416272
2024Q1,spec_estados_sal_ce,143.57563
2024Q1,spec_rpps_ci_uniao,28.993374
2024Q2,spec01_uniao_sal_ce,92.852373
